,Title,Genre,Developer,Publisher,Release date JP,Release date EU,Release date NA,Addons
2302,Spelunky 2,"Platform
roguelike","Mossmouth
BlitWorks",Mossmouth,"Sep 15, 2020","Sep 15, 2020","Sep 15, 2020",
2303,Spider: Rite of the Shrouded Moon,Puzzle,Tiger Style,Tiger Style,Unreleased,"Aug 6, 2015","Aug 6, 2015",
2304,Spider Solitaire F,Card game,Fly High Works,Fly High Works,"Sep 5, 2019","Mar 30, 2020","Apr 16, 2020",
2305,Spiritfarer,Adventure,Thunder Lotus Games,Thunder Lotus Games,Unreleased,"Aug 18, 2020","Aug 18, 2020",
2306,Spintires: MudRunner,Simulation,Saber Interactive,Focus Home Interactive,"Jul 26, 2018","Oct 31, 2017","Oct 31, 2017",P
2307,Spirit Hunter: Death Mark,"Visual novel
horror",Experience,Aksys Games,"Jan 18, 2018","Oct 31, 2018","Oct 31, 2018",
2308,Spirit Hunter: NG,"Visual novel
horror",Experience,Aksys Games,"Feb 21, 2019","Oct 10, 2019","Oct 10, 2019",
2309,Spirit of the North,Adventure,Infuse Studio,Infuse Studio,"Aug 20, 2020","Nov 1, 2019","Nov 1, 2019",
2310,Splasher,"Action
platform",Splashteam,Splashteam,"Nov 9, 2017","Sep 27, 2017","Sep 26, 2017",
2311,SpongeBob SquarePants: Battle for Bikini Bottom – Rehydrated,"Action-adventure
platform",Purple Lamp Studios,THQ Nordic,"Aug 20, 2020","Jun 23, 2020","Jun 23, 2020",
2312,Spooky's Jump Scare Mansion: HD Renovation,Horror,Albino Moose Games,Albino Moose Games,Unreleased,"Oct 29, 2019","Oct 29, 2019",VR
2313,Sportsfriends,"Action, sports",Die Gute Fabrik,Die Gute Fabrik,"Oct 23, 2014","May 7, 2014","May 6, 2014",C M
2314,Spy Chameleon,Puzzle,Unfinished Pixel,Unfinished Pixel,Unreleased,"Jul 21, 2016","Jul 21, 2016",
2315,Spyro Reignited Trilogy,Platform,Toys For Bob,Activision,"Dec 18, 2018","Nov 13, 2018","Nov 13, 2018",P
2316,Square Heroes,Shooter,Gnomic Studios,Gnomic Studios,Unreleased,"Mar 1, 2016","Mar 1, 2016",CP
2317,The Stanley Parable: Ultra Deluxe,Interactive story,"Galactic Cafe
Crows Crows Crows",Galactic Cafe,Unreleased,2021,2021,
2318,Starbound,"Adventure, sandbox",Chucklefish,Chucklefish,Unreleased,TBA,TBA,
2319,Stardew Valley,Role-playing,ConcernedApe,Chucklefish,"Jan 31, 2019","Dec 14, 2016","Dec 13, 2016",
2320,Stardust Galaxy Warriors: Stellar Climax,Shoot 'em up,Dreamloop Games,Dreamloop Games,"Feb 7, 2020","Sep 9, 2016","Sep 12, 2016",
2321,Star Hammer: The Vanguard Prophecy,Turn-based strategy,Black Lab Games,Slitherine,Unreleased,"Sep 1, 2016","Sep 1, 2016",
2322,Starlink: Battle for Atlas,Space combat,Ubisoft Toronto,Ubisoft,"Apr 25, 2019","Oct 16, 2018","Oct 16, 2018",
2323,Star Ocean: First Departure R,Action role-playing,Tri-Ace,Square Enix,"Dec 5, 2019","Dec 5, 2019","Dec 5, 2019",
2324,Star Ocean: Integrity and Faithlessness,Action role-playing,Tri-Ace,Square Enix,"Feb 25, 2016","Jul 1, 2016","Jun 28, 2016",
2325,Star Ocean: The Last Hope,Action role-playing,Tri-Ace,Square Enix,"Nov 28, 2017","Nov 28, 2017","Nov 28, 2017",P
2326,Star Ocean: Second Evolution,Action role-playing,Tri-Ace,Square Enix,"Oct 28, 2015",Unreleased,Unreleased,
2327,Star Renegades,Role-playing,"Massive Damage, Inc.","JP: DMM Games
WW: Raw Fury","Feb 25, 2021","Nov 25, 2020","Nov 25, 2020",
2328,Starstruck: Hands of Time,"Adventure
role-playing
rhythm",Createdelic,Createdelic,2021,2021,2021,
2329,Star Trek: Bridge Crew,Adventure,Red Storm Entertainment,Ubisoft,"May 31, 2017","May 30, 2017","May 30, 2017",CP VR
2330,Star Wars Battlefront,First- and third-person shooter,EA Dice,"Electronic Arts
LucasArts","Nov 18, 2015","Nov 20, 2015","Nov 17, 2015",VR
2331,Star Wars Battlefront II,First- and third-person shooter,DICE / Motive Studios,"Electronic Arts
LucasArts","Nov 17, 2017","Nov 17, 2017","Nov 17, 2017",P
2332,Star Wars Episode I: Racer,Racing,Raven Software,Aspyr Media,Unreleased,"Jun 23, 2020","Jun 23, 2020",
2333,Star Wars Jedi: Fallen Order,Action-adventure,Respawn Entertainment,Electronic Arts,"Nov 15, 2019","Nov 15, 2019","Nov 15, 2019",
2334,Star Wars Jedi Knight: Jedi Academy,First- and third-person shooter,Raven Software,Apsyr Media,Unreleased,"Mar 26, 2020","Mar 26, 2020",
2335,Star Wars Jedi Knight II: Jedi Outcast,First- and third-person shooter,Raven Software,Apsyr Media,Unreleased,"Sep 24, 2019","Sep 24, 2019",
2336,Star Wars: Squadrons,Space combat,Motive Studios,Electronic Arts,"Oct 2, 2020","Oct 2, 2020","Oct 2, 2020",CP VR
2337,Starwhal: Just the Tip,Fighting,Breakfall,Breakfall,Unreleased,"Mar 4, 2015","Feb 24, 2015",
2338,State of Mind,Adventure,Daedalic Entertainment,Daedalic Entertainment,"Nov 8, 2018","Aug 15, 2018","Aug 15, 2018",
2339,Stay,"Adventure
strategy",Appnormals Team,PQube,"Dec 12, 2019","Dec 12, 2018","Sep 12, 2018",
2340,"Stay Cool, Kobayashi-san!: A River City Ransom Story",Adventure,Arc System Works,Arc System Works,"Nov 7, 2019","Nov 7, 2019","Nov 7, 2019",
2341,Stealth Inc: A Clone in the Dark,"Platform
stealth",Curve Studios,Curve Digital,"Aug 26, 2014","Mar 19, 2014","Mar 18, 2014",
2342,Stealth Inc 2: A Game of Clones,"Platform
stealth",Curve Studios,Curve Digital,Unreleased,"Apr 8, 2015","Apr 7, 2014",
2343,Steam Tactics,"Strategy
role-playing",Sometimes You,Sometimes You,Unreleased,"Aug 5, 2020","Aug 5, 2020",
